Date,Bullish,Neutral,Bearish
6/21/91,-0.063829787,0.290322581,-0.272727273
6/28/91,-0.363636364,-0.075,1.1875
7/3/91,0,0.054054054,-0.057142857
7/12/91,0.464285714,0,-0.393939394
7/19/91,-0.341463415,0.307692308,0.1
7/26/91,0.296296296,-0.176470588,0.045454545
8/2/91,-0.057142857,-0.142857143,0.347826087
8/9/91,-0.212121212,0.25,-0.064516129
8/16/91,0.423076923,-0.266666667,0.034482759
8/23/91,-0.135135135,0.090909091,0.066666667
8/30/91,0.28125,0.111111111,-0.40625
9/6/91,-0.12195122,-0.225,0.736842105
9/13/91,0.194444444,0.258064516,-0.454545455
9/20/91,-0.255813953,0.230769231,0.111111111
9/27/91,-0.03125,-0.208333333,0.55
10/4/91,0.129032258,-0.210526316,0.129032258
10/11/91,0.114285714,0.233333333,-0.314285714
10/18/91,-0.230769231,-0.162162162,0.625
10/25/91,0.033333333,0.161290323,-0.153846154
11/1/91,0.677419355,-0.666666667,0.090909091
11/8/91,-0.384615385,2,-0.111111111
11/15/91,0.1875,-0.083333333,-0.09375
11/22/91,0.263157895,-0.03030303,-0.310344828
11/27/91,-0.3125,-0.15625,1
12/6/91,-0.303030303,0.185185185,0.125
12/13/91,0.434782609,0.125,-0.311111111
12/20/91,0.090909091,-0.166666667,0.096774194
12/27/91,0.083333333,-0.033333333,-0.058823529
1/3/92,0.256410256,-0.310344828,-0.03125
1/10/92,-0.020408163,0.35,-0.193548387
1/17/92,0.0625,-0.222222222,0.12
1/24/92,-0.098039216,0.19047619,0.035714286
1/31/92,0.02173913,0.04,-0.068965517
2/7/92,-0.234042553,0.5,-0.074074074
2/14/92,0.277777778,-0.282051282,0.04
2/21/92,0.02173913,-0.107142857,0.076923077
2/28/92,-0.085106383,0.44,-0.25
3/6/92,0.046511628,-0.194444444,0.238095238
3/13/92,-0.155555556,0.206896552,0.038461538
3/20/92,0.263157895,-0.171428571,-0.148148148
3/27/92,-0.104166667,0.206896552,-0.043478261
4/3/92,-0.186046512,0.2,0.045454545
4/10/92,0.228571429,-0.357142857,0.304347826
4/17/92,-0.139534884,0.407407407,-0.166666667
4/24/92,0.405405405,-0.105263158,-0.44
5/1/92,-0.442307692,0.058823529,1.5
5/8/92,0.482758621,-0.138888889,-0.257142857
5/15/92,-0.069767442,0.193548387,-0.115384615
5/22/92,0.2,-0.351351351,0.217391304
5/29/92,-0.145833333,0.791666667,-0.428571429
6/5/92,0,-0.069767442,0.1875
6/12/92,-0.243902439,0.15,0.210526316
6/19/92,0.129032258,-0.195652174,0.217391304
6/26/92,0.114285714,-0.081081081,-0.035714286
7/2/92,-0.461538462,0.294117647,0.296296296
7/9/92,0.095238095,-0.045454545,0
7/17/92,0.260869565,-0.047619048,-0.114285714
7/24/92,0.103448276,0.1,-0.225806452
7/31/92,-0.3125,0.068181818,0.291666667
8/5/92,0.272727273,-0.170212766,0.064516129
8/14/92,-0.071428571,-0.051282051,0.121212121
8/21/92,-0.153846154,-0.081081081,0.189189189
8/28/92,0.363636364,0.088235294,-0.25
9/4/92,-0.533333333,0.189189189,0.272727273
9/11/92,0.571428571,-0.113636364,-0.071428571
9/18/92,-0.045454545,0.076923077,-0.051282051
9/25/92,0.19047619,-0.19047619,0.108108108
10/2/92,0.2,0.029411765,-0.146341463
10/9/92,-0.3,0,0.257142857
10/16/92,-0.047619048,-0.314285714,0.272727273
10/23/92,0.05,0.333333333,-0.160714286
10/30/92,0.666666667,0.09375,-0.361702128
11/6/92,0.4,-0.228571429,-0.2
